productid,rate,cmt,username,url
626fc73b92862a0011000608,5,Good product&service,Bargarh,
626fc73b92862a0011000608,4,Good,Jaipur,
626fc73b92862a0011000608,5,Received just as described,Hosur,
626fc73b92862a0011000625,4,Good,Parole,
626fc73b92862a0011000625,5,Super phoneb,Kattappana,
626fc73b92862a00110006ff,5,Good product&service,Bargarh,
626fc73b92862a00110006ff,4,Good,Jaipur,
626fc73b92862a00110006ff,5,Received just as described,Hosur,
626fc73b92862a0011000773,5,Very 👍🏻👍🏻,Anantapur District,
626fc73b92862a0011000773,3,Ok,Hoskote,
626fc73b92862a00110007da,5,Product good,Karur District,
626fc73b92862a00110007da,5,Super,Ranipettai,
626fc73b92862a00110007e4,4,Good,Parole,
626fc73b92862a00110007e4,5,Super phoneb,Kattappana,
626fc73b92862a0011000806,4,Good,Parole,
626fc73b92862a0011000806,5,Super phoneb,Kattappana,
626fc73b92862a001100084e,5,Product good,Karur District,
626fc73b92862a001100084e,5,Super,Ranipettai,
626fc74a92862a00110009e8,5,Nice laptop,Ambejogai,
626fc74a92862a00110009e8,5,"A1, using from 3 months no issue at all",Tikamgarh District,
626fc74a92862a00110009e8,5,Best in performance,Bhimavaram,
